OTU_ID	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	Taxonomy
2	0.023667589781366	0.262153307412106	0.234506175909237	0.0944345727213432	0.218418444072031	0.220229301587957	0.168107672245612	0.412187239762475	0.117024752292992	0.155457567837976	0.0495319043872265	0.0910948674551426	0.0578078922138724	0.113265881837089	0.106445756724743	0.0918951466539932	0.0265943113194451	0.140076087998018	0.105173582221787	0.157674417306496	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Roseburia; 99%
3	0.0171629966399105	0.0629272904078308	0.0691258471812546	0.0512831940862004	0.0879910691148758	0.101717374334878	0.146956269282542	0.189012491059559	0.0854678692307874	0.149604142856857	0.103201098034982	0.159482413722487	0.117623539166672	0.126315634829362	0.117780812933902	0.0868565535163869	0.0802171267962038	0.0746813677431345	0.0653701420024866	0.0656593589893571	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Blautia; 100%
4	0.0233328504851975	0.0659975543685131	0.0636740350828085	0.0429148828837697	0.072988760396056	0.0583825242868158	0.0649781609039384	0.082765469630101	0.0506703491243082	0.0807943550313628	0.0551600045824153	0.0744010974925175	0.0536997171326835	0.0568849747746182	0.0802434172835008	0.0431323862215891	0.0424242585334005	0.0437756437870593	0.0456169903973874	0.0521774621469524	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Blautia; 96%
5	0.0028757148625382	0.0171619882930448	0.021963759745893	0.0205751303694547	0.0341976784419165	0.019828605361454	0.0266428852230463	0.0437228894662641	0.0260509463364962	0.0368295790782838	0.0277938007585814	0.0385474324591524	0.061097521132268	0.0637178926504011	0.0706046282887406	0.075933965708019	0.0720398283496806	0.0384007352729592	0.0364832571175933	0.0547581552719012	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Blautia; 100%
6	0.0121647303312132	0.138135636658391	0.204638592881865	0.140241980564214	0.0610838384492397	0.190440423054212	0.147928445567801	0.248936451188071	0.0292129271418318	0.0612473336528073	0.00646018071685945	0.0602872737968436	0.049514320715382	0.0437418759097245	0.0570544466584255	0.127858527874424	0.100298545547622	0.0350264871502186	0.0114203963498415	0.0160329268279862	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Faecalibacterium; 93%
7	0.0146980981863063	0.0387063191624481	0.0410320594777787	0.030562527869747	0.0446697956234523	0.0389829768466298	0.0444048087050772	0.0590439019690812	0.0385572883277489	0.0527235505598634	0.0396856182141241	0.0534959446529575	0.0361704738351294	0.0444513045416364	0.0425264168692216	0.0308402479295094	0.0350791630261252	0.0357431416187653	0.0354626560863292	0.0275125617631031	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Dorea; 98%
8	0.00933466173633431	0.0404120213628271	0.0407972924496159	0.0279792665855184	0.0439112519241861	0.0409137374923355	0.0486876393671645	0.0657243434520328	0.0381954696286309	0.0501172810427227	0.0393851446924097	0.041753395099702	0.0232127336354396	0.0265288969985994	0.048253813228427	0.025936919037208	0.0299050317081924	0.0264564941305147	0.0289643988872678	0.0302267390152044	Root; 100%; Bacteria; 100%; "Actinobacteria"; 100%; Actinobacteria; 100%; Coriobacteridae; 100%; Coriobacteriales; 100%; "Coriobacterineae"; 100%; Coriobacteriaceae; 100%; Collinsella; 100%
9	0.041644611527868	0.0946008681902544	0.0319283158301342	0.020411402541581	0.0532455535568226	0.131414311885494	0.0473213375608544	0.0650442985106545	0.0206865908408771	0.0407603462188895	0.0144920690857634	0.0474444530415059	0.0244019422115732	0.0283024685783791	0.0448213666298788	0.0322436144745474	0.0139846276530143	0.0273821728190541	0.0235384187210535	0.0398672593095532	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Anaerostipes; 100%
10	0.00211494373488259	0.0171619882930448	0.0299197534780751	0.0301077283478757	0.0213867181876434	0.0167945529182021	0.0291127384882991	0.0694445893078083	0.0275454148763314	0.0555434487259501	0.0198543657809741	0.0270135550304296	0.0340700534928674	0.0254087465271596	0.0263420320353696	0.0371300353361856	0.0487019633142491	0.00743529011117173	0.00608484918639747	0.0122360449889812	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Gemmiger; 76%
11	0.00884776821463472	0.158052990044356	0.145607727911609	0.0418233640312787	0.0276025623899634	0.112198646411566	0.0021282778136753	0.0758450122854865	0.0481533494782699	0.0375772793495947	0.00688777765160685	0.00115718178150014	0.00214675314392954	0.00405121087170731	0.0273597923640089	0.00508931722959557	9.04568412226024e-05	0.0445669497627462	0.0323491769909538	0.013125939169998	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Fusicatenibacter; 96%
